beta_ratio,layers,accuracy,accuracy_sd,semantic_drift,semantic_drift_sd,attention_entropy,attention_entropy_sd,coherence_proxy,n
0.08,"9,3,8,10",0.0,0.0,0.49292711541056633,0.10928867792007187,0.4325458609285609,0.002512241876719584,0.625,24
0.12,"9,3,8,10",0.0,0.0,0.49066371470689774,0.10333808251839645,0.4299803535589793,0.002766408834384927,0.75,24
0.18,"9,3,8,10",0.0,0.0,0.476927758504947,0.12904976483389025,0.4250584096298553,0.0026262912872073193,0.7916666666666666,24
0.25,"9,3,8,10",0.0,0.0,0.4294950378437837,0.10733104034287635,0.4163459050857152,0.0024574190861402717,0.8333333333333334,24
0.32,"9,3,8,10",0.0,0.0,0.2962074701984723,0.07153806463653148,0.40342154858323437,0.002619468650162016,0.9166666666666666,24
0.4,"9,3,8,10",0.0,0.0,0.24497486899296442,0.04203006240762589,0.38565225295800093,0.0032413494069806893,1.0,24
0.5,"9,3,8,10",0.041666666666666664,0.2041241452319315,0.2027891476949056,0.03321473469954858,0.36542427153714624,0.00385420798609671,1.0,24
0.65,"9,3,8,10",0.0,0.0,0.46426322559515637,0.040780348874484236,0.3456308845973884,0.0031023530177697804,1.0,24
0.8,"9,3,8,10",0.3333333333333333,0.4815434123430768,0.43245861679315567,0.04579113545026232,0.32911942383119214,0.0030512042859084194,1.0,24
1.0,"9,3,8,10",0.75,0.44232586846469135,0.4044076129794121,0.04166227534744551,0.31243055243976414,0.0029807314392466906,1.0,24
