condition,prompt_id,beta_ratio,intervened_layers,attention_layer,attention_entropy
baseline,p000,1.0,all,0,0.44747787714004517
baseline,p000,1.0,all,1,0.1957712471485138
baseline,p000,1.0,all,2,0.19448097050189972
baseline,p000,1.0,all,3,0.2659877836704254
baseline,p000,1.0,all,4,0.31492674350738525
baseline,p000,1.0,all,5,0.34061378240585327
baseline,p000,1.0,all,6,0.39329543709754944
baseline,p000,1.0,all,7,0.44378429651260376
baseline,p000,1.0,all,8,0.39209410548210144
baseline,p000,1.0,all,9,0.3907299041748047
baseline,p000,1.0,all,10,0.3071036636829376
baseline,p000,1.0,all,11,0.2686389982700348
baseline,p000,1.0,all,12,0.24649588763713837
baseline,p000,1.0,all,13,0.22629548609256744
baseline,p000,1.0,all,14,0.287050724029541
baseline,p000,1.0,all,15,0.2824893891811371
baseline,p001,1.0,all,0,0.44101646542549133
baseline,p001,1.0,all,1,0.19643685221672058
baseline,p001,1.0,all,2,0.20229965448379517
baseline,p001,1.0,all,3,0.27804964780807495
baseline,p001,1.0,all,4,0.3165369927883148
baseline,p001,1.0,all,5,0.335226446390152
baseline,p001,1.0,all,6,0.38705042004585266
baseline,p001,1.0,all,7,0.44559022784233093
baseline,p001,1.0,all,8,0.3903227746486664
baseline,p001,1.0,all,9,0.3982984125614166
baseline,p001,1.0,all,10,0.3121810853481293
baseline,p001,1.0,all,11,0.2768392562866211
baseline,p001,1.0,all,12,0.2430548220872879
baseline,p001,1.0,all,13,0.22226358950138092
baseline,p001,1.0,all,14,0.28358379006385803
baseline,p001,1.0,all,15,0.2815021276473999
baseline,p002,1.0,all,0,0.44107404351234436
baseline,p002,1.0,all,1,0.19791559875011444
baseline,p002,1.0,all,2,0.19757618010044098
baseline,p002,1.0,all,3,0.2709428071975708
baseline,p002,1.0,all,4,0.31677189469337463
baseline,p002,1.0,all,5,0.3329898416996002
baseline,p002,1.0,all,6,0.38587814569473267
baseline,p002,1.0,all,7,0.43944022059440613
baseline,p002,1.0,all,8,0.3808298408985138
baseline,p002,1.0,all,9,0.39292681217193604
baseline,p002,1.0,all,10,0.30932214856147766
baseline,p002,1.0,all,11,0.27313631772994995
baseline,p002,1.0,all,12,0.23795382678508759
baseline,p002,1.0,all,13,0.21972866356372833
baseline,p002,1.0,all,14,0.27210694551467896
baseline,p002,1.0,all,15,0.27170804142951965
baseline,p003,1.0,all,0,0.44438111782073975
baseline,p003,1.0,all,1,0.20262756943702698
baseline,p003,1.0,all,2,0.20214548707008362
baseline,p003,1.0,all,3,0.2672420144081116
baseline,p003,1.0,all,4,0.317285418510437
baseline,p003,1.0,all,5,0.3375491499900818
baseline,p003,1.0,all,6,0.3955298960208893
baseline,p003,1.0,all,7,0.44368693232536316
baseline,p003,1.0,all,8,0.3941100835800171
baseline,p003,1.0,all,9,0.4051549732685089
baseline,p003,1.0,all,10,0.32050976157188416
baseline,p003,1.0,all,11,0.2806083559989929
baseline,p003,1.0,all,12,0.24554812908172607
baseline,p003,1.0,all,13,0.2302224040031433
baseline,p003,1.0,all,14,0.29737430810928345
baseline,p003,1.0,all,15,0.2874337434768677
baseline,p004,1.0,all,0,0.44938215613365173
baseline,p004,1.0,all,1,0.2006707638502121
baseline,p004,1.0,all,2,0.2003917545080185
baseline,p004,1.0,all,3,0.2698485255241394
baseline,p004,1.0,all,4,0.3143000602722168
baseline,p004,1.0,all,5,0.3361762464046478
baseline,p004,1.0,all,6,0.3910349905490875
baseline,p004,1.0,all,7,0.44061776995658875
baseline,p004,1.0,all,8,0.38542965054512024
baseline,p004,1.0,all,9,0.39231619238853455
baseline,p004,1.0,all,10,0.30676209926605225
baseline,p004,1.0,all,11,0.2780051529407501
baseline,p004,1.0,all,12,0.24267032742500305
baseline,p004,1.0,all,13,0.22302871942520142
baseline,p004,1.0,all,14,0.28480955958366394
baseline,p004,1.0,all,15,0.2847515344619751
baseline,p005,1.0,all,0,0.4407488703727722
baseline,p005,1.0,all,1,0.1986778974533081
baseline,p005,1.0,all,2,0.20192551612854004
baseline,p005,1.0,all,3,0.2726140320301056
baseline,p005,1.0,all,4,0.31640690565109253
baseline,p005,1.0,all,5,0.33967792987823486
baseline,p005,1.0,all,6,0.3896549344062805
baseline,p005,1.0,all,7,0.44268858432769775
baseline,p005,1.0,all,8,0.39263078570365906
baseline,p005,1.0,all,9,0.4032061696052551
baseline,p005,1.0,all,10,0.3202833831310272
baseline,p005,1.0,all,11,0.28362610936164856
baseline,p005,1.0,all,12,0.24639829993247986
baseline,p005,1.0,all,13,0.2272765189409256
baseline,p005,1.0,all,14,0.28696754574775696
baseline,p005,1.0,all,15,0.27638399600982666
baseline,p006,1.0,all,0,0.44617760181427
baseline,p006,1.0,all,1,0.19903886318206787
baseline,p006,1.0,all,2,0.20042924582958221
baseline,p006,1.0,all,3,0.26966917514801025
baseline,p006,1.0,all,4,0.31211134791374207
baseline,p006,1.0,all,5,0.33051204681396484
baseline,p006,1.0,all,6,0.3886692523956299
baseline,p006,1.0,all,7,0.4355829358100891
baseline,p006,1.0,all,8,0.38150879740715027
baseline,p006,1.0,all,9,0.39175015687942505
baseline,p006,1.0,all,10,0.30266204476356506
baseline,p006,1.0,all,11,0.26968127489089966
baseline,p006,1.0,all,12,0.23349663615226746
baseline,p006,1.0,all,13,0.21411676704883575
baseline,p006,1.0,all,14,0.2707020342350006
baseline,p006,1.0,all,15,0.2750580310821533
baseline,p007,1.0,all,0,0.4409722089767456
baseline,p007,1.0,all,1,0.19641731679439545
baseline,p007,1.0,all,2,0.20012469589710236
baseline,p007,1.0,all,3,0.27354368567466736
baseline,p007,1.0,all,4,0.31972163915634155
baseline,p007,1.0,all,5,0.3339062035083771
baseline,p007,1.0,all,6,0.3871636986732483
baseline,p007,1.0,all,7,0.44751816987991333
baseline,p007,1.0,all,8,0.3862546682357788
baseline,p007,1.0,all,9,0.3949166536331177
baseline,p007,1.0,all,10,0.31034550070762634
baseline,p007,1.0,all,11,0.2767929434776306
baseline,p007,1.0,all,12,0.24148163199424744
baseline,p007,1.0,all,13,0.22373773157596588
baseline,p007,1.0,all,14,0.2854715585708618
baseline,p007,1.0,all,15,0.27851614356040955
baseline,p008,1.0,all,0,0.44654524326324463
baseline,p008,1.0,all,1,0.19929662346839905
baseline,p008,1.0,all,2,0.20050859451293945
baseline,p008,1.0,all,3,0.2696533501148224
baseline,p008,1.0,all,4,0.3139983117580414
baseline,p008,1.0,all,5,0.33642929792404175
baseline,p008,1.0,all,6,0.383510023355484
baseline,p008,1.0,all,7,0.4388880431652069
baseline,p008,1.0,all,8,0.38728776574134827
baseline,p008,1.0,all,9,0.395525723695755
baseline,p008,1.0,all,10,0.3137581944465637
baseline,p008,1.0,all,11,0.2765869200229645
baseline,p008,1.0,all,12,0.24048912525177002
baseline,p008,1.0,all,13,0.22819353640079498
baseline,p008,1.0,all,14,0.28267374634742737
baseline,p008,1.0,all,15,0.2803550660610199
baseline,p009,1.0,all,0,0.44548335671424866
baseline,p009,1.0,all,1,0.20040428638458252
baseline,p009,1.0,all,2,0.19840452075004578
baseline,p009,1.0,all,3,0.26626697182655334
baseline,p009,1.0,all,4,0.31355440616607666
baseline,p009,1.0,all,5,0.33787962794303894
baseline,p009,1.0,all,6,0.38932108879089355
baseline,p009,1.0,all,7,0.43959200382232666
baseline,p009,1.0,all,8,0.3803781270980835
baseline,p009,1.0,all,9,0.3881877660751343
baseline,p009,1.0,all,10,0.3092503547668457
baseline,p009,1.0,all,11,0.2670882046222687
baseline,p009,1.0,all,12,0.2384781837463379
baseline,p009,1.0,all,13,0.22367066144943237
baseline,p009,1.0,all,14,0.28523343801498413
baseline,p009,1.0,all,15,0.2864118218421936
baseline,p010,1.0,all,0,0.44195663928985596
baseline,p010,1.0,all,1,0.19766905903816223
baseline,p010,1.0,all,2,0.19832883775234222
baseline,p010,1.0,all,3,0.27455249428749084
baseline,p010,1.0,all,4,0.3165213465690613
baseline,p010,1.0,all,5,0.3378767669200897
baseline,p010,1.0,all,6,0.3891690969467163
baseline,p010,1.0,all,7,0.44364455342292786
baseline,p010,1.0,all,8,0.386293888092041
baseline,p010,1.0,all,9,0.394411563873291
baseline,p010,1.0,all,10,0.3100258708000183
baseline,p010,1.0,all,11,0.27108678221702576
baseline,p010,1.0,all,12,0.24586856365203857
baseline,p010,1.0,all,13,0.22602678835391998
baseline,p010,1.0,all,14,0.2828438878059387
baseline,p010,1.0,all,15,0.2844492495059967
baseline,p011,1.0,all,0,0.44263696670532227
baseline,p011,1.0,all,1,0.1970340609550476
baseline,p011,1.0,all,2,0.1955214887857437
baseline,p011,1.0,all,3,0.2673702538013458
baseline,p011,1.0,all,4,0.3166416883468628
baseline,p011,1.0,all,5,0.34163761138916016
baseline,p011,1.0,all,6,0.3894861340522766
baseline,p011,1.0,all,7,0.4404210150241852
baseline,p011,1.0,all,8,0.38113096356391907
baseline,p011,1.0,all,9,0.3894408047199249
baseline,p011,1.0,all,10,0.30867043137550354
baseline,p011,1.0,all,11,0.264549195766449
baseline,p011,1.0,all,12,0.24101535975933075
baseline,p011,1.0,all,13,0.22259600460529327
baseline,p011,1.0,all,14,0.2801944315433502
baseline,p011,1.0,all,15,0.28135934472084045
baseline,p012,1.0,all,0,0.4374200701713562
baseline,p012,1.0,all,1,0.19441568851470947
baseline,p012,1.0,all,2,0.1988237500190735
baseline,p012,1.0,all,3,0.26948168873786926
baseline,p012,1.0,all,4,0.30970779061317444
baseline,p012,1.0,all,5,0.33466681838035583
baseline,p012,1.0,all,6,0.39906445145606995
baseline,p012,1.0,all,7,0.4485680162906647
baseline,p012,1.0,all,8,0.402159720659256
baseline,p012,1.0,all,9,0.39930224418640137
baseline,p012,1.0,all,10,0.31898316740989685
baseline,p012,1.0,all,11,0.2765832543373108
baseline,p012,1.0,all,12,0.24193063378334045
baseline,p012,1.0,all,13,0.22175957262516022
baseline,p012,1.0,all,14,0.28134578466415405
baseline,p012,1.0,all,15,0.27424436807632446
baseline,p013,1.0,all,0,0.4424758851528168
baseline,p013,1.0,all,1,0.194939985871315
baseline,p013,1.0,all,2,0.19758278131484985
baseline,p013,1.0,all,3,0.27305030822753906
baseline,p013,1.0,all,4,0.31103336811065674
baseline,p013,1.0,all,5,0.3352329134941101
baseline,p013,1.0,all,6,0.39137551188468933
baseline,p013,1.0,all,7,0.44799476861953735
baseline,p013,1.0,all,8,0.38857176899909973
baseline,p013,1.0,all,9,0.3916463851928711
baseline,p013,1.0,all,10,0.30617755651474
baseline,p013,1.0,all,11,0.27019181847572327
baseline,p013,1.0,all,12,0.23943382501602173
baseline,p013,1.0,all,13,0.21847854554653168
baseline,p013,1.0,all,14,0.2734273374080658
baseline,p013,1.0,all,15,0.27302590012550354
baseline,p014,1.0,all,0,0.43975862860679626
baseline,p014,1.0,all,1,0.19614467024803162
baseline,p014,1.0,all,2,0.20595751702785492
baseline,p014,1.0,all,3,0.27572333812713623
baseline,p014,1.0,all,4,0.31303903460502625
baseline,p014,1.0,all,5,0.3425390124320984
baseline,p014,1.0,all,6,0.40165388584136963
baseline,p014,1.0,all,7,0.4485490322113037
baseline,p014,1.0,all,8,0.3931068181991577
baseline,p014,1.0,all,9,0.4079661965370178
baseline,p014,1.0,all,10,0.3230300843715668
baseline,p014,1.0,all,11,0.28724294900894165
baseline,p014,1.0,all,12,0.2470085769891739
baseline,p014,1.0,all,13,0.22722569108009338
baseline,p014,1.0,all,14,0.2884902358055115
baseline,p014,1.0,all,15,0.2872450351715088
baseline,p015,1.0,all,0,0.44766438007354736
baseline,p015,1.0,all,1,0.19999223947525024
baseline,p015,1.0,all,2,0.20095445215702057
baseline,p015,1.0,all,3,0.2755257189273834
baseline,p015,1.0,all,4,0.3195750415325165
baseline,p015,1.0,all,5,0.3426792323589325
baseline,p015,1.0,all,6,0.3919825255870819
baseline,p015,1.0,all,7,0.4489802420139313
baseline,p015,1.0,all,8,0.38420990109443665
baseline,p015,1.0,all,9,0.390861451625824
baseline,p015,1.0,all,10,0.3069172501564026
baseline,p015,1.0,all,11,0.2720646262168884
baseline,p015,1.0,all,12,0.2397470921278
baseline,p015,1.0,all,13,0.2239392250776291
baseline,p015,1.0,all,14,0.2821497619152069
baseline,p015,1.0,all,15,0.28393682837486267
baseline,p016,1.0,all,0,0.4397365152835846
baseline,p016,1.0,all,1,0.19659006595611572
baseline,p016,1.0,all,2,0.1955786943435669
baseline,p016,1.0,all,3,0.2705304026603699
baseline,p016,1.0,all,4,0.3189626932144165
baseline,p016,1.0,all,5,0.3304300308227539
baseline,p016,1.0,all,6,0.385565847158432
baseline,p016,1.0,all,7,0.4385046064853668
baseline,p016,1.0,all,8,0.38107821345329285
baseline,p016,1.0,all,9,0.38827604055404663
baseline,p016,1.0,all,10,0.29537495970726013
baseline,p016,1.0,all,11,0.262706458568573
baseline,p016,1.0,all,12,0.23664584755897522
baseline,p016,1.0,all,13,0.21872630715370178
baseline,p016,1.0,all,14,0.2728414237499237
baseline,p016,1.0,all,15,0.2730560898780823
baseline,p017,1.0,all,0,0.4348246455192566
baseline,p017,1.0,all,1,0.19479313492774963
baseline,p017,1.0,all,2,0.19671368598937988
baseline,p017,1.0,all,3,0.27152642607688904
baseline,p017,1.0,all,4,0.3164486885070801
baseline,p017,1.0,all,5,0.33736222982406616
baseline,p017,1.0,all,6,0.3915732502937317
baseline,p017,1.0,all,7,0.4516020119190216
baseline,p017,1.0,all,8,0.3928596079349518
baseline,p017,1.0,all,9,0.39893925189971924
baseline,p017,1.0,all,10,0.3131959140300751
baseline,p017,1.0,all,11,0.27710479497909546
baseline,p017,1.0,all,12,0.24013862013816833
baseline,p017,1.0,all,13,0.22553865611553192
baseline,p017,1.0,all,14,0.2859991788864136
baseline,p017,1.0,all,15,0.2841532230377197
baseline,p018,1.0,all,0,0.4506866931915283
baseline,p018,1.0,all,1,0.2024674415588379
baseline,p018,1.0,all,2,0.19830776751041412
baseline,p018,1.0,all,3,0.2634820342063904
baseline,p018,1.0,all,4,0.31574922800064087
baseline,p018,1.0,all,5,0.3368930220603943
baseline,p018,1.0,all,6,0.38165873289108276
baseline,p018,1.0,all,7,0.4316459894180298
baseline,p018,1.0,all,8,0.38128671050071716
baseline,p018,1.0,all,9,0.39465945959091187
baseline,p018,1.0,all,10,0.3155500590801239
baseline,p018,1.0,all,11,0.27404239773750305
baseline,p018,1.0,all,12,0.24473190307617188
baseline,p018,1.0,all,13,0.226615771651268
baseline,p018,1.0,all,14,0.28447264432907104
baseline,p018,1.0,all,15,0.2825069725513458
baseline,p019,1.0,all,0,0.4444550573825836
baseline,p019,1.0,all,1,0.19748494029045105
baseline,p019,1.0,all,2,0.1981196254491806
baseline,p019,1.0,all,3,0.2715964615345001
baseline,p019,1.0,all,4,0.319730281829834
baseline,p019,1.0,all,5,0.3389047086238861
baseline,p019,1.0,all,6,0.3955295979976654
baseline,p019,1.0,all,7,0.454177588224411
baseline,p019,1.0,all,8,0.39464902877807617
baseline,p019,1.0,all,9,0.40228158235549927
baseline,p019,1.0,all,10,0.32021182775497437
baseline,p019,1.0,all,11,0.28344085812568665
baseline,p019,1.0,all,12,0.24975468218326569
baseline,p019,1.0,all,13,0.2338574230670929
baseline,p019,1.0,all,14,0.30256712436676025
baseline,p019,1.0,all,15,0.29257217049598694
baseline,p020,1.0,all,0,0.4500282108783722
baseline,p020,1.0,all,1,0.1964884251356125
baseline,p020,1.0,all,2,0.1966327279806137
baseline,p020,1.0,all,3,0.2667067050933838
baseline,p020,1.0,all,4,0.3198401629924774
baseline,p020,1.0,all,5,0.33907824754714966
baseline,p020,1.0,all,6,0.3871365487575531
baseline,p020,1.0,all,7,0.44173330068588257
baseline,p020,1.0,all,8,0.38445353507995605
baseline,p020,1.0,all,9,0.3914948105812073
baseline,p020,1.0,all,10,0.31233271956443787
baseline,p020,1.0,all,11,0.27374082803726196
baseline,p020,1.0,all,12,0.2472739815711975
baseline,p020,1.0,all,13,0.2310124933719635
baseline,p020,1.0,all,14,0.2905498445034027
baseline,p020,1.0,all,15,0.287356436252594
baseline,p021,1.0,all,0,0.44173505902290344
