beta_ratio,layers,accuracy,accuracy_sd,semantic_drift,semantic_drift_sd,attention_entropy,attention_entropy_sd,coherence_proxy,n
1.0,"3,9,5,8",0.7,0.4605661864718383,0.4103777718544006,0.0529007647636178,0.31213166874833403,0.003015233657179376,1.0,100
0.83,"3,9,5,8",0.44,0.49888765156985887,0.4257847225666046,0.0605016453419508,0.32606905269436537,0.003196124493420966,1.0,100
0.8125,"3,9,5,8",0.42,0.4960449637488581,0.4267831557989121,0.06056250225057651,0.32796247290447356,0.003234537165854576,1.0,100
0.8,"3,9,5,8",0.33,0.4725815626252608,0.43540367305278777,0.0601181336574144,0.32940366948023436,0.003259910082207185,1.0,100
0.795,"3,9,5,8",0.3,0.4605661864718382,0.43832218915224075,0.061273575804816335,0.32999842511489985,0.003280020449058296,1.0,100
0.7775,"3,9,5,8",0.19,0.3942772444036625,0.44794911891222,0.05684116899542921,0.3321363917551935,0.003330732205384877,1.0,100
0.76,"3,9,5,8",0.12,0.32659863237109044,0.4530583941936493,0.05586601437677055,0.33439390831626953,0.0033881208157129747,1.0,100
0.7425,"3,9,5,8",0.08,0.2726599243442907,0.4601117369532585,0.04889997753390939,0.3367638915218413,0.003446413531041979,1.0,100
0.725,"3,9,5,8",0.05,0.21904291355759034,0.46511481612920763,0.04718953884614153,0.3392799232993275,0.003500710673943069,1.0,100
0.7075,"3,9,5,8",0.0,0.0,0.4731058579683304,0.04253525322530889,0.3419450738001615,0.003552671440469471,1.0,100
0.69,"3,9,5,8",0.0,0.0,0.47837178170681,0.04231868470141054,0.34472798865288495,0.0035880908216964864,1.0,100
0.6725,"3,9,5,8",0.01,0.09999999999999999,0.48191451370716093,0.05089719417450161,0.34768408159725367,0.00360520823790996,1.0,100
0.655,"3,9,5,8",0.01,0.09999999999999999,0.4830287307500839,0.06448895748962481,0.3508272022753954,0.0036267166622969732,1.0,100
0.65,"3,9,5,8",0.0,0.0,0.4838282999396324,0.0672026531596421,0.3517825054656714,0.0036319314695912957,1.0,100
0.6375,"3,9,5,8",0.01,0.1,0.3987567853927612,0.13913198095796786,0.3543786602281034,0.003617275018182625,1.0,100
0.62,"3,9,5,8",0.01,0.1,0.24871141970157623,0.09754596834041145,0.35856057351455095,0.0035240622557107574,1.0,100
0.5,"3,9,5,8",0.0,0.0,0.2039240574836731,0.034274434206268106,0.3886431367043406,0.0032495927772799383,1.0,100
0.4,"3,9,5,8",0.0,0.0,0.20494330912828446,0.06885756956608129,0.40847106649540366,0.0038189153597040395,0.98,100
0.32,"3,9,5,8",0.0,0.0,0.28662857592105867,0.10462718400718508,0.42435824040323494,0.003894707867915077,0.85,100
0.25,"3,9,5,8",0.0,0.0,0.2742011672258377,0.0648452236025228,0.4381634359061718,0.003728425193819776,0.93,100
0.18,"3,9,5,8",0.0,0.0,0.2726092547178268,0.04250829090242232,0.44785547863692043,0.0034495654786919927,0.98,100
0.12,"3,9,5,8",0.0,0.0,0.28328894317150116,0.028648979799137733,0.45345972665585577,0.003223839011992786,1.0,100
0.08,"3,9,5,8",0.0,0.0,0.29335133492946625,0.029603690736891626,0.4561524911876768,0.0031723694083668885,1.0,100
