condition,prompt_id,beta_ratio,layers,target,answer,correct,semantic_drift,attention_entropy,answer_tokens,repeat_frac,coherence_proxy
baseline,p000,1.0,all,Kira-000 DN-1791,"Kira-000
DN-1791",1,0.4205610752105713,0.31232726853340864,4,0.25,1.0
baseline,p001,1.0,all,Silas-001 BR-2013,"Silas-001, BR-2013",1,0.32992637157440186,0.3131407853215933,4,0.25,1.0
baseline,p002,1.0,all,Rhea-002 EV-1976,"Rhea-002, EV-1976",1,0.366249680519104,0.30876883305609226,4,0.25,1.0
baseline,p003,1.0,all,Kira-003 CY-2199,"Kira-003, CY-2199",1,0.35455745458602905,0.3169630840420723,4,0.25,1.0
baseline,p004,1.0,all,Cora-004 DN-2064,"Cora-004
DN-2064",1,0.39852285385131836,0.31251221895217896,4,0.25,1.0
baseline,p005,1.0,all,Jules-005 BR-7519,"Jules-005
BR-7519",1,0.4282783269882202,0.31494796741753817,4,0.25,1.0
baseline,p006,1.0,all,Cora-006 BR-4800,"Cora-006, BR-4800",1,0.3739011883735657,0.30757288821041584,4,0.25,1.0
baseline,p007,1.0,all,Rhea-007 DN-7536,"Rhea-007
DN-7536",1,0.41136258840560913,0.3123052781447768,4,0.25,1.0
baseline,p008,1.0,all,Silas-008 EV-2662,"Silas-008
EV-2662",1,0.3788996934890747,0.31210622284561396,4,0.25,1.0
baseline,p009,1.0,all,Pavel-009 AX-3361,"Pavel-009, AX-3361",1,0.3991311192512512,0.3106003012508154,4,0.25,1.0
baseline,p010,1.0,all,Felix-010 BR-9725,Felix-010,0,0.43725889921188354,0.3125453367829323,2,0.5,1.0
baseline,p011,1.0,all,Tara-011 DN-6726,Tara-011,0,0.46482545137405396,0.3099816096946597,2,0.5,1.0
baseline,p012,1.0,all,Dante-012 BR-8832,Dante-012,0,0.4456000328063965,0.31302856374531984,2,0.5,1.0
baseline,p013,1.0,all,Elena-013 EV-8771,"Elena-013, EV-8771",1,0.37387609481811523,0.30966491624712944,4,0.25,1.0
baseline,p014,1.0,all,Hugo-014 CY-5249,"Hugo-014, CY-5249",1,0.34864509105682373,0.3177925441414118,4,0.25,1.0
baseline,p015,1.0,all,Pavel-015 AX-2011,Pavel-015,0,0.49342405796051025,0.31319874804466963,2,0.5,1.0
baseline,p016,1.0,all,Quinn-016 EV-4267,Quinn-016,0,0.42206114530563354,0.30653776228427887,2,0.5,1.0
baseline,p017,1.0,all,Hugo-017 AX-4484,"Hugo-017, AX-4484",1,0.3476128578186035,0.3132983325049281,4,0.25,1.0
baseline,p018,1.0,all,Nolan-018 DN-6556,"Nolan-018
DN-6556",1,0.40023815631866455,0.31154730170965195,4,0.25,1.0
baseline,p019,1.0,all,Cora-019 BR-2716,"Cora-019
BR-2716",1,0.4052790403366089,0.3187083099037409,4,0.25,1.0
baseline,p020,1.0,all,Basil-020 DN-2186,"Basil-020
DN-2186",1,0.40617167949676514,0.3134911861270666,4,0.25,1.0
baseline,p021,1.0,all,Elena-021 EV-4906,Elena-021,0,0.48093855381011963,0.31357251666486263,2,0.5,1.0
baseline,p022,1.0,all,Ada-022 AX-1251,"Ada-022, AX-1251",1,0.40390241146087646,0.30918055307120085,4,0.25,1.0
baseline,p023,1.0,all,Elena-023 CY-1891,"Elena-023
CY-1891",1,0.41455888748168945,0.3145407298579812,4,0.25,1.0
baseline,p024,1.0,all,Felix-024 DN-1059,"Felix-024, DN-1059",1,0.33849799633026123,0.3125240234658122,4,0.25,1.0
baseline,p025,1.0,all,Iris-025 BR-5066,"Iris-025, BR-5066",1,0.32833248376846313,0.31352102290838957,4,0.25,1.0
baseline,p026,1.0,all,Tara-026 CY-9096,"Tara-026, CY-9096",1,0.3885166645050049,0.31175369303673506,4,0.25,1.0
baseline,p027,1.0,all,Opal-027 AX-1308,Opal-027,0,0.44451701641082764,0.3156694835051894,2,0.5,1.0
baseline,p028,1.0,all,Opal-028 DN-2257,Opal-028,0,0.4467066526412964,0.3154568802565336,2,0.5,1.0
baseline,p029,1.0,all,Dante-029 DN-5765,Dante-029,0,0.43406182527542114,0.31724247988313437,2,0.5,1.0
baseline,p030,1.0,all,Mira-030 BR-2222,"Mira-030
BR-2222",1,0.4377206563949585,0.3097829343751073,4,0.25,1.0
